assignment_id,kindergarten_id,class_id,teacher_id,role,start_date,end_date,reason,note,status,created_by_user_id,created_at,updated_at
1,1,1,1,HOMEROOM,2023-03-01,2026-02-25,,,DISABLED,101,2026-03-25 13:31:32.000000 +00:00,2026-03-25 13:31:32.000000 +00:00
2,1,2,2,HOMEROOM,2023-03-01,2026-02-25,,,DISABLED,102,2026-03-25 13:32:32.000000 +00:00,2026-03-25 13:32:32.000000 +00:00
3,1,3,3,HOMEROOM,2024-03-01,2027-02-25,,,ACTIVE,102,2026-03-25 13:33:32.000000 +00:00,2026-03-25 13:33:32.000000 +00:00
4,1,4,4,HOMEROOM,2024-03-01,2027-02-25,,,ACTIVE,102,2026-03-25 13:34:32.000000 +00:00,2026-03-25 13:34:32.000000 +00:00
5,1,5,5,HOMEROOM,2025-03-01,2028-02-25,,,ACTIVE,101,2026-03-25 13:35:32.000000 +00:00,2026-03-25 13:35:32.000000 +00:00
6,1,6,6,HOMEROOM,2025-03-01,2028-02-25,,,ACTIVE,102,2026-03-25 13:36:32.000000 +00:00,2026-03-25 13:36:32.000000 +00:00
7,1,7,7,HOMEROOM,2025-03-01,2028-02-25,,,ACTIVE,102,2026-03-25 13:37:32.000000 +00:00,2026-03-25 13:37:32.000000 +00:00
8,2,8,21,HOMEROOM,2023-03-01,2026-02-25,,,DISABLED,402,2026-03-25 13:38:32.000000 +00:00,2026-03-25 13:38:32.000000 +00:00
9,2,9,22,HOMEROOM,2023-03-01,2026-02-25,,,DISABLED,401,2026-03-25 13:39:32.000000 +00:00,2026-03-25 13:39:32.000000 +00:00
10,2,10,23,HOMEROOM,2024-03-01,2027-02-25,,,ACTIVE,401,2026-03-25 13:40:32.000000 +00:00,2026-03-25 13:40:32.000000 +00:00
11,2,11,24,HOMEROOM,2024-03-01,2027-02-25,,,ACTIVE,402,2026-03-25 13:41:32.000000 +00:00,2026-03-25 13:41:32.000000 +00:00
12,2,12,25,HOMEROOM,2025-03-01,2028-02-25,,,ACTIVE,402,2026-03-25 13:42:32.000000 +00:00,2026-03-25 13:42:32.000000 +00:00
13,2,13,26,HOMEROOM,2025-03-01,2028-02-25,,,ACTIVE,401,2026-03-25 13:43:32.000000 +00:00,2026-03-25 13:43:32.000000 +00:00
14,2,14,27,HOMEROOM,2025-03-01,2028-02-25,,,ACTIVE,401,2026-03-25 13:44:32.000000 +00:00,2026-03-25 13:44:32.000000 +00:00
15,3,15,41,HOMEROOM,2023-03-01,2026-02-25,,,DISABLED,701,2026-03-25 13:45:32.000000 +00:00,2026-03-25 13:45:32.000000 +00:00
16,3,16,42,HOMEROOM,2023-03-01,2026-02-25,,,DISABLED,701,2026-03-25 13:46:32.000000 +00:00,2026-03-25 13:46:32.000000 +00:00
17,3,17,43,HOMEROOM,2024-03-01,2027-02-25,,,ACTIVE,702,2026-03-25 13:47:32.000000 +00:00,2026-03-25 13:47:32.000000 +00:00
18,3,18,44,HOMEROOM,2024-03-01,2027-02-25,,,ACTIVE,702,2026-03-25 13:48:32.000000 +00:00,2026-03-25 13:48:32.000000 +00:00
19,3,19,45,HOMEROOM,2025-03-01,2028-02-25,,,ACTIVE,702,2026-03-25 13:49:32.000000 +00:00,2026-03-25 13:49:32.000000 +00:00
20,3,20,46,HOMEROOM,2025-03-01,2028-02-25,,,ACTIVE,701,2026-03-25 13:50:32.000000 +00:00,2026-03-25 13:50:32.000000 +00:00
21,3,21,47,HOMEROOM,2025-03-01,2028-02-25,,,ACTIVE,702,2026-03-25 13:51:32.000000 +00:00,2026-03-25 13:51:32.000000 +00:00
